KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2020,2020,92392.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2021,2021,27735.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2022,2022,13355.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2023,2023,17046.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2024,2024,17048.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2020,2020,6596.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2021,2021,10245.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2022,2022,8681.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2023,2023,12203.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI44,Salg av varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2024,2024,6780.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2020,2020,755.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2021,2021,5.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2023,2023,28996.0
1130,Strand,B,(Fylkes-)Kommunekasse,929,Salg av aksjer og andeler,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI45,Utdeling fra selskaper,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI45,Utdeling fra selskaper,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI45,Utdeling fra selskaper,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI45,Utdeling fra selskaper,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI45,Utdeling fra selskaper,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI46,Mottatte avdrag på utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2020,2020,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI46,Mottatte avdrag på utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2021,2021,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI46,Mottatte avdrag på utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2022,2022,6307.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI46,Mottatte avdrag på utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2023,2023,2532.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI46,Mottatte avdrag på utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2024,2024,3545.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI17,Bruk av lån,KOSbelop0000,Beløp (1000 kr),2020,2020,231301.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI17,Bruk av lån,KOSbelop0000,Beløp (1000 kr),2021,2021,228790.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI17,Bruk av lån,KOSbelop0000,Beløp (1000 kr),2022,2022,162731.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI17,Bruk av lån,KOSbelop0000,Beløp (1000 kr),2023,2023,71236.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI17,Bruk av lån,KOSbelop0000,Beløp (1000 kr),2024,2024,93532.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI47,Sum investeringsinntekter (B),KOSbelop0000,Beløp (1000 kr),2020,2020,372428.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI47,Sum investeringsinntekter (B),KOSbelop0000,Beløp (1000 kr),2021,2021,327070.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI47,Sum investeringsinntekter (B),KOSbelop0000,Beløp (1000 kr),2022,2022,229888.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI47,Sum investeringsinntekter (B),KOSbelop0000,Beløp (1000 kr),2023,2023,147372.0
1130,Strand,B,(Fylkes-)Kommunekasse,AGI47,Sum investeringsinntekter (B),KOSbelop0000,Beløp (1000 kr),2024,2024,144193.0
1130,Strand,B,(Fylkes-)Kommunekasse,522,Videreutlån,KOSbelop0000,Beløp (1000 kr),2020,2020,22004.0
1130,Strand,B,(Fylkes-)Kommunekasse,522,Videreutlån,KOSbelop0000,Beløp (1000 kr),2021,2021,29068.0
1130,Strand,B,(Fylkes-)Kommunekasse,522,Videreutlån,KOSbelop0000,Beløp (1000 kr),2022,2022,38374.0
1130,Strand,B,(Fylkes-)Kommunekasse,522,Videreutlån,KOSbelop0000,Beløp (1000 kr),2023,2023,41869.0
1130,Strand,B,(Fylkes-)Kommunekasse,522,Videreutlån,KOSbelop0000,Beløp (1000 kr),2024,2024,30992.0
1130,Strand,B,(Fylkes-)Kommunekasse,912,Bruk av lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2020,2020,22004.0
1130,Strand,B,(Fylkes-)Kommunekasse,912,Bruk av lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2021,2021,29068.0
1130,Strand,B,(Fylkes-)Kommunekasse,912,Bruk av lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2022,2022,38374.0
1130,Strand,B,(Fylkes-)Kommunekasse,912,Bruk av lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2023,2023,41869.0
1130,Strand,B,(Fylkes-)Kommunekasse,912,Bruk av lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2024,2024,30992.0
1130,Strand,B,(Fylkes-)Kommunekasse,512,Avdrag på lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2020,2020,15233.0
1130,Strand,B,(Fylkes-)Kommunekasse,512,Avdrag på lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2021,2021,16296.0
1130,Strand,B,(Fylkes-)Kommunekasse,512,Avdrag på lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2022,2022,13566.0
1130,Strand,B,(Fylkes-)Kommunekasse,512,Avdrag på lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2023,2023,9053.0
1130,Strand,B,(Fylkes-)Kommunekasse,512,Avdrag på lån til videreutlån,KOSbelop0000,Beløp (1000 kr),2024,2024,17615.0
1130,Strand,B,(Fylkes-)Kommunekasse,922,Mottatte avdrag på videreutlån,KOSbelop0000,Beløp (1000 kr),2020,2020,15058.0
