KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKart0000_kode,KOKart0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
1130,Strand,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2020,2020,327028.0
1130,Strand,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2021,2021,344084.0
1130,Strand,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2022,2022,259127.0
1130,Strand,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2023,2023,161162.0
1130,Strand,AGI39,Investeringer i varige driftsmidler,KOSbelop0000,Beløp (1000 kr),2024,2024,159098.0
1130,Strand,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2020,2020,55711.0
1130,Strand,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2021,2021,4383.0
1130,Strand,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2022,2022,1654.0
1130,Strand,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2023,2023,1198.0
1130,Strand,AGI40,Tilskudd til andres investeringer,KOSbelop0000,Beløp (1000 kr),2024,2024,1183.0
1130,Strand,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2020,2020,1955.0
1130,Strand,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2021,2021,1743.0
1130,Strand,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2022,2022,5682.0
1130,Strand,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2023,2023,312.0
1130,Strand,AGI41,Investeringer i aksjer og andeler i selskaper,KOSbelop0000,Beløp (1000 kr),2024,2024,342.0
1130,Strand,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2023,2023,10128.0
1130,Strand,AGI42,Utlån av egne midler,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
1130,Strand,AG5,Avdrag på lån,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
1130,Strand,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2020,2020,384694.0
1130,Strand,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2021,2021,350210.0
1130,Strand,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2022,2022,266463.0
1130,Strand,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2023,2023,172800.0
1130,Strand,AGI43,Sum investeringsutgifter (A),KOSbelop0000,Beløp (1000 kr),2024,2024,160623.0
1130,Strand,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2020,2020,38918.0
1130,Strand,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2021,2021,57918.0
1130,Strand,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2022,2022,38814.0
1130,Strand,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2023,2023,15359.0
1130,Strand,AI729,Kompensasjon for merverdiavgift i investeringsregnskapet,KOSbelop0000,Beløp (1000 kr),2024,2024,23299.0
1130,Strand,AGI38,Tilskudd fra andre,KOSbelop0000,Beløp (1000 kr),2020,2020,86019.0
