KOKartkap0000_kode,KOKartkap0000,KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
A800,Rammetilskudd,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,33947
A800,Rammetilskudd,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,36106
AG10,Eiendomsskatt totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,2660
AG10,Eiendomsskatt totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,2784
AG10,Eiendomsskatt totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,2733
AG10,Eiendomsskatt totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,2799
AG10,Eiendomsskatt totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,2792
AG11,Frie inntekter,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,58171
AG11,Frie inntekter,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,62117
AG11,Frie inntekter,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,64994
AG11,Frie inntekter,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,66073
AG11,Frie inntekter,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,69047
AGD20,"Netto inntekt fra konsesjonskraft, kraftrettigheter og annen kraft for videresalg",1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,61
AGD20,"Netto inntekt fra konsesjonskraft, kraftrettigheter og annen kraft for videresalg",1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,419
AGD20,"Netto inntekt fra konsesjonskraft, kraftrettigheter og annen kraft for videresalg",1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,984
AGD20,"Netto inntekt fra konsesjonskraft, kraftrettigheter og annen kraft for videresalg",1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,454
AGD20,"Netto inntekt fra konsesjonskraft, kraftrettigheter og annen kraft for videresalg",1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,296
AGI1,Brutto investeringsutgifter totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,28418
AGI1,Brutto investeringsutgifter totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,25209
AGI1,Brutto investeringsutgifter totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,17775
AGI1,Brutto investeringsutgifter totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,10026
AGI1,Brutto investeringsutgifter totalt,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,10414
KG117,Netto lånegjeld,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,76933
KG117,Netto lånegjeld,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,89958
KG117,Netto lånegjeld,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,97752
KG117,Netto lånegjeld,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,97208
KG117,Netto lånegjeld,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,99565
KG116,Langsiktig gjeld ex. pensjonsforpliktelser,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,94992
KG116,Langsiktig gjeld ex. pensjonsforpliktelser,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,107318
KG116,Langsiktig gjeld ex. pensjonsforpliktelser,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,117664
KG116,Langsiktig gjeld ex. pensjonsforpliktelser,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,123961
KG116,Langsiktig gjeld ex. pensjonsforpliktelser,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,122983
40,Pensjonsforpliktelse,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2020,2020,77362
40,Pensjonsforpliktelse,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2021,2021,73565
40,Pensjonsforpliktelse,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2022,2022,78510
40,Pensjonsforpliktelse,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2023,2023,81625
40,Pensjonsforpliktelse,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopprinnb0000,Beløp per innbygger (kr),2024,2024,87029
