år,region_kode,region,regnskapsomfang_kode,regnskapsomfang,statistikkvariabel_kode,statistikkvariabel,regnskapsbegrep_kode,regnskapsbegrep,verdi
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG117,Netto lånegjeld,9.8
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGID1,Overskudd før lån og avsetninger,5.9
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),40,Pensjonsforpliktelse,1.4
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD97,Renter (netto),211.1
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD24,Renter (netto) inkl. utbytte og eieruttak,208.1
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD25,Tap/gevinst (netto) på finansielle omløpsmidler,214.2
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AD905,Utbytte og eieruttak,214.7
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD73,Utlån (netto) i driftsregnskapet,207.0
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD29,Årets merforbruk i driftsregnskapet,0.0
2021,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGI7,Årets udekket i investeringsregnskapet,0.0
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),KG114,Arbeidskapital ex. premieavvik,0.0
2022,1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopbrinv0000,Andel av brutto driftsinntekter (prosent),AGD21,Avdrag (netto) i driftsregnskapet,0.0
