KOKartkap0000_kode,KOKartkap0000,KOKkommuneregion0000_kode,KOKkommuneregion0000,KOKregnskapsomfa0000_kode,KOKregnskapsomfa0000,ContentsCode_kode,ContentsCode,Tid_kode,Tid,verdi
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2020,2020,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2021,2021,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2022,2022,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2023,2023,0.0
41,Obligasjonslån (-2023),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2024,2024,
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2020,2020,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2021,2021,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2022,2022,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2023,2023,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelop0000,Beløp (1000 kr),2024,2024,
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2020,2020,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2021,2021,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2022,2022,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2023,2023,0.0
41,Obligasjonslån (-2023),1130,Strand,C,(Fylkes-)Kommuners konsoliderte regnskap,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2024,2024,
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2020,2020,
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2021,2021,
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2022,2022,
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2023,2023,
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelop0000,Beløp (1000 kr),2024,2024,0.0
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2020,2020,
411,Utestående obligasjonslån med forfall etter neste regnskapsår (2024-),1130,Strand,B,(Fylkes-)Kommunekasse,KOSbelopproslg0000,Andel av langsiktig gjeld ex pensjonsforpliktelser (prosent),2021,2021,
